epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,72.9959,1.56708,2.00083,4.19679,1.1123,0,0.01023,0.5951,0.13721,0.08247,0.01069,0.64247,0.14647,0.08356,1.33595,1.71311,3.4534,1.00318,0,0.000329861,0.000329861,0.000329861
2,142.579,1.42371,1.73185,2.88392,1.05709,0,0.22585,0.37347,0.20655,0.12722,0.2361,0.38864,0.21208,0.12473,1.33412,1.63947,2.44071,0.98571,0,0.000652252,0.000652252,0.000652252
3,212.96,1.40139,1.7252,2.59575,1.05446,0,0.2372,0.38674,0.22595,0.13885,0.23744,0.38666,0.22221,0.12855,1.38241,1.56964,2.31239,0.99203,0,0.000963642,0.000963642,0.000963642
4,283.526,1.4064,1.64134,2.43237,1.05561,0,0.20679,0.45648,0.24906,0.14934,0.20711,0.46442,0.25129,0.12962,1.4292,1.86868,2.15934,1.02946,0,0.0009505,0.0009505,0.0009505
5,364.565,1.35463,1.60631,2.33053,1.03865,0,0.30055,0.56363,0.35724,0.23422,0.3041,0.56135,0.35958,0.21196,1.1663,1.47741,1.884,0.96209,0,0.000934,0.000934,0.000934
6,439.593,1.28924,1.57115,2.10718,1.01087,0,0.28039,0.55898,0.43166,0.28923,0.28247,0.564,0.43364,0.24267,1.20138,1.58119,1.93972,0.96564,0,0.0009175,0.0009175,0.0009175
7,507.811,1.25954,1.57652,1.98062,1.0161,0,0.43856,0.50055,0.45527,0.29951,0.45005,0.48811,0.45595,0.2755,1.1963,1.66169,1.90369,0.94944,0,0.000901,0.000901,0.000901
8,579.859,1.25815,1.54314,1.91978,1.01192,0,0.39956,0.69786,0.50411,0.32353,0.39743,0.68915,0.48996,0.28472,1.1982,1.49219,1.76158,0.96313,0,0.0008845,0.0008845,0.0008845
9,645.293,1.21372,1.48632,1.80223,0.99773,0,0.46008,0.58187,0.52317,0.32572,0.45173,0.59475,0.51535,0.29269,1.3121,1.50412,1.66929,0.97295,0,0.000868,0.000868,0.000868
10,709.584,1.1885,1.45906,1.71615,0.98999,0,0.40978,0.65707,0.54487,0.35429,0.40427,0.65186,0.53398,0.31798,1.21232,1.57598,1.67046,0.94758,0,0.0008515,0.0008515,0.0008515
11,783.651,1.21686,1.46293,1.71633,0.99148,0,0.57994,0.54179,0.55899,0.36072,0.57228,0.53659,0.54918,0.31191,1.20757,1.48271,1.64671,0.95702,0,0.000835,0.000835,0.000835
12,846.264,1.19256,1.43649,1.62167,0.98444,0,0.50527,0.7103,0.60881,0.4118,0.50527,0.7103,0.60915,0.37709,1.15263,1.46811,1.51047,0.93276,0,0.0008185,0.0008185,0.0008185
13,908.353,1.18205,1.42319,1.55773,0.98061,0,0.49608,0.58204,0.58031,0.39675,0.50409,0.58725,0.58765,0.36702,1.1241,1.43793,1.53843,0.94332,0,0.000802,0.000802,0.000802
14,970.736,1.15731,1.41607,1.53616,0.97263,0,0.48321,0.67575,0.61335,0.41326,0.47948,0.67131,0.60876,0.39442,1.17889,1.37579,1.42412,0.94293,0,0.0007855,0.0007855,0.0007855
15,1032.74,1.15836,1.39696,1.45927,0.97364,0,0.43186,0.72545,0.5868,0.39149,0.43021,0.72095,0.58693,0.37548,1.24804,1.65838,1.65845,0.96711,0,0.000769,0.000769,0.000769
16,1093.7,1.13215,1.37099,1.40243,0.96927,0,0.62517,0.58415,0.64825,0.43877,0.62517,0.58415,0.64854,0.41246,1.14937,1.39965,1.4324,0.94465,0,0.0007525,0.0007525,0.0007525
17,1154.9,1.11672,1.36088,1.39494,0.96267,0,0.52907,0.67192,0.65693,0.44871,0.52687,0.67379,0.65702,0.43051,1.17959,1.45602,1.47492,0.9336,0,0.000736,0.000736,0.000736
18,1214.24,1.10516,1.33269,1.32444,0.95872,0,0.57347,0.73497,0.67246,0.46216,0.57341,0.73307,0.66956,0.42859,1.11357,1.38853,1.23497,0.93381,0,0.0007195,0.0007195,0.0007195
19,1271.65,1.08657,1.27844,1.30259,0.94799,0,0.57807,0.67814,0.63626,0.43556,0.57619,0.67363,0.63046,0.41918,1.07794,1.40204,1.52452,0.92026,0,0.000703,0.000703,0.000703
20,1329.48,1.09306,1.27536,1.26947,0.9538,0,0.61488,0.69524,0.71218,0.48072,0.61488,0.69524,0.71702,0.45888,1.12657,1.43123,1.21509,0.94144,0,0.0006865,0.0006865,0.0006865
21,1388.12,1.05322,1.31032,1.18665,0.94844,0,0.65294,0.71883,0.72725,0.49383,0.65089,0.71308,0.72556,0.48643,1.10365,1.29079,1.24266,0.9198,0,0.00067,0.00067,0.00067
22,1445.51,1.07693,1.29239,1.20346,0.94933,0,0.61651,0.69878,0.71317,0.49079,0.61502,0.6962,0.71272,0.47202,1.10353,1.33006,1.28427,0.92489,0,0.0006535,0.0006535,0.0006535
23,1503.68,1.07561,1.35368,1.15835,0.94187,0,0.74434,0.61888,0.76193,0.51739,0.74434,0.61888,0.76224,0.50265,1.03596,1.33615,1.13204,0.91007,0,0.000637,0.000637,0.000637
24,1562.48,1.04092,1.26374,1.13871,0.93147,0,0.71888,0.70796,0.76602,0.51064,0.71888,0.70796,0.76538,0.49691,1.18481,1.36667,1.12699,0.95067,0,0.0006205,0.0006205,0.0006205
25,1621.63,1.03568,1.25903,1.13636,0.93934,0,0.63935,0.69394,0.72863,0.49486,0.63707,0.68943,0.72589,0.473,1.11442,1.36297,1.26006,0.92882,0,0.000604,0.000604,0.000604
26,1680.77,1.04049,1.26479,1.09947,0.9411,0,0.65332,0.70831,0.7583,0.51945,0.65332,0.70831,0.7583,0.51242,1.09519,1.35499,1.14059,0.92943,0,0.0005875,0.0005875,0.0005875
27,1740.49,1.00178,1.20323,1.05803,0.92914,0,0.57349,0.81565,0.77146,0.53274,0.57349,0.81565,0.77333,0.50535,1.10593,1.40043,1.02858,0.92702,0,0.000571,0.000571,0.000571
28,1798.57,1.01073,1.24658,1.08241,0.92822,0,0.731,0.72026,0.79288,0.56441,0.731,0.72026,0.79288,0.54553,1.08295,1.39241,0.98071,0.91885,0,0.0005545,0.0005545,0.0005545
