epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,1855.83,0.99318,1.20159,1.04439,0.9295,0,0.70764,0.75484,0.79527,0.55189,0.70764,0.75484,0.79527,0.53438,1.09356,1.37821,0.99,0.92651,0,0.000538,0.000538,0.000538
30,1913.21,0.99926,1.19494,1.01194,0.9239,0,0.7134,0.71834,0.78065,0.53585,0.7134,0.71834,0.78065,0.53959,1.12705,1.26673,1.059,0.91899,0,0.0005215,0.0005215,0.0005215
31,1972.02,0.99548,1.19003,1.01514,0.92096,0,0.65672,0.74466,0.76629,0.53722,0.65672,0.74466,0.76782,0.51556,1.15656,1.39296,1.09389,0.94086,0,0.000505,0.000505,0.000505
32,2029.99,0.96203,1.17546,0.98274,0.91137,0,0.61351,0.7104,0.72738,0.49403,0.61351,0.7104,0.72786,0.47229,1.17024,1.63411,1.14158,0.93205,0,0.0004885,0.0004885,0.0004885
33,2088.44,0.9576,1.17088,0.94448,0.91781,0,0.69159,0.76675,0.81143,0.55837,0.69159,0.76675,0.81182,0.54593,1.12551,1.3623,0.95941,0.93023,0,0.000472,0.000472,0.000472
34,2146.7,0.95502,1.13646,0.92171,0.91038,0,0.7356,0.80455,0.83095,0.58419,0.7356,0.80455,0.83095,0.56929,1.11507,1.38377,0.9646,0.93289,0,0.0004555,0.0004555,0.0004555
35,2205.07,0.95806,1.21624,0.93236,0.91542,0,0.70982,0.76519,0.78813,0.54515,0.70982,0.76519,0.78813,0.53135,1.16829,1.42227,0.97425,0.94454,0,0.000439,0.000439,0.000439
36,2262.9,0.94072,1.18683,0.91446,0.91348,0,0.7724,0.75056,0.81904,0.56757,0.7724,0.75056,0.81829,0.55714,1.14369,1.42845,0.95131,0.9423,0,0.0004225,0.0004225,0.0004225
37,2321.12,0.96215,1.19376,0.91323,0.91701,0,0.71059,0.77463,0.81659,0.58047,0.71059,0.77463,0.81659,0.57342,1.08134,1.25675,0.92443,0.9146,0,0.000406,0.000406,0.000406
38,2378.91,0.92621,1.14599,0.9001,0.90781,0,0.67772,0.74015,0.79456,0.57078,0.6768,0.7407,0.79191,0.56038,1.07991,1.25593,0.95894,0.91564,0,0.0003895,0.0003895,0.0003895
39,2438,0.94788,1.13337,0.89806,0.91567,0,0.74468,0.68849,0.80071,0.57409,0.74468,0.68849,0.80072,0.55855,1.09778,1.30559,0.92702,0.91314,0,0.000373,0.000373,0.000373
40,2495.02,0.90442,1.08853,0.87097,0.89988,0,0.74733,0.74908,0.8113,0.56334,0.74733,0.74908,0.8113,0.55361,1.11469,1.30708,0.94777,0.9164,0,0.0003565,0.0003565,0.0003565
41,2551.84,0.89167,1.11756,0.84576,0.90219,0,0.6777,0.79662,0.80459,0.54943,0.6777,0.79662,0.80459,0.53481,1.08896,1.43025,0.95557,0.91519,0,0.00034,0.00034,0.00034
42,2609.76,0.92761,1.13641,0.84323,0.89439,0,0.7527,0.78414,0.82748,0.58588,0.7527,0.78414,0.82781,0.5721,1.06447,1.3356,0.90891,0.90996,0,0.0003235,0.0003235,0.0003235
43,2667.52,0.91032,1.07517,0.8216,0.90313,0,0.79943,0.74036,0.83347,0.60628,0.79943,0.74036,0.83371,0.59255,1.03316,1.27717,0.91875,0.89926,0,0.000307,0.000307,0.000307
44,2724.48,0.88702,1.10394,0.80857,0.89132,0,0.86114,0.66868,0.83218,0.58609,0.86114,0.66868,0.83579,0.58678,1.09036,1.31319,0.91368,0.9134,0,0.0002905,0.0002905,0.0002905
45,2782.16,0.89577,1.12289,0.80743,0.89164,0,0.65779,0.81197,0.81313,0.58456,0.65779,0.81197,0.81334,0.57919,1.05939,1.23248,0.868,0.91291,0,0.000274,0.000274,0.000274
46,2839.65,0.90006,1.06609,0.82042,0.89293,0,0.78637,0.716,0.81134,0.57429,0.78578,0.7087,0.81032,0.56602,1.05641,1.27337,0.8944,0.90909,0,0.0002575,0.0002575,0.0002575
47,2897.19,0.8834,1.10039,0.78228,0.89395,0,0.74396,0.75647,0.81389,0.58419,0.74396,0.75647,0.81389,0.58383,1.10998,1.26554,0.96854,0.91841,0,0.000241,0.000241,0.000241
48,2954.21,0.87356,1.05814,0.77089,0.88368,0,0.78437,0.79911,0.85041,0.60254,0.78627,0.79257,0.84989,0.58814,1.12481,1.44596,0.8843,0.92142,0,0.0002245,0.0002245,0.0002245
49,3010.93,0.85505,1.0531,0.76103,0.88391,0,0.78967,0.75924,0.8437,0.59393,0.78967,0.75924,0.84332,0.59249,1.10338,1.35927,0.83117,0.91809,0,0.000208,0.000208,0.000208
50,3068.23,0.83863,1.03193,0.73466,0.88262,0,0.80447,0.7322,0.83555,0.59822,0.80447,0.7322,0.83555,0.59701,1.05413,1.26037,0.8623,0.90489,0,0.0001915,0.0001915,0.0001915
51,3122.7,0.84172,1.03702,0.73178,0.89562,0,0.74366,0.8116,0.83941,0.5943,0.74366,0.8116,0.84022,0.59289,1.11005,1.29655,0.87663,0.92288,0,0.000175,0.000175,0.000175
52,3177.12,0.8185,1.0519,0.71578,0.89415,0,0.76649,0.74104,0.83756,0.58835,0.76649,0.74104,0.83756,0.5819,1.10546,1.38203,0.85363,0.92324,0,0.0001585,0.0001585,0.0001585
53,3232.22,0.80066,1.00111,0.69739,0.88104,0,0.78005,0.7737,0.85059,0.60935,0.78005,0.7737,0.85155,0.6017,1.0679,1.34504,0.84811,0.91393,0,0.000142,0.000142,0.000142
54,3286.37,0.80736,0.98467,0.67599,0.88883,0,0.7919,0.77459,0.84796,0.61117,0.7919,0.77459,0.84812,0.60433,1.10281,1.45741,0.86784,0.91368,0,0.0001255,0.0001255,0.0001255
55,3341.87,0.79912,1.00536,0.67683,0.88146,0,0.74382,0.82776,0.84015,0.60607,0.74382,0.82776,0.84015,0.60337,1.10402,1.32412,0.83069,0.91818,0,0.000109,0.000109,0.000109
56,3396.68,0.77699,0.97018,0.65589,0.87731,0,0.78667,0.78824,0.85356,0.60632,0.78667,0.78824,0.85387,0.60791,1.10217,1.36573,0.81357,0.91581,0,9.25e-05,9.25e-05,9.25e-05
57,3451.25,0.7772,0.97425,0.6546,0.87599,0,0.76977,0.84676,0.87192,0.63021,0.76489,0.84155,0.8701,0.62208,1.0677,1.26916,0.78648,0.90797,0,7.6e-05,7.6e-05,7.6e-05
58,3505.89,0.77061,0.98607,0.63791,0.87419,0,0.78531,0.81847,0.87048,0.6254,0.78531,0.81847,0.87048,0.61672,1.07213,1.28076,0.77217,0.90812,0,5.95e-05,5.95e-05,5.95e-05
59,3559.6,0.77213,0.97607,0.64064,0.88302,0,0.85662,0.76134,0.86643,0.62297,0.85662,0.76134,0.86666,0.61853,1.07366,1.29079,0.77597,0.90899,0,4.3e-05,4.3e-05,4.3e-05
60,3614.36,0.74772,0.94511,0.61716,0.87096,0,0.81888,0.77182,0.86532,0.62222,0.81888,0.77182,0.86539,0.61921,1.07114,1.28753,0.76652,0.90955,0,2.65e-05,2.65e-05,2.65e-05
