epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2776.99,1.02204,1.27912,1.10313,0.9286,0,0.74236,0.72673,0.8026,0.53664,0.7356,0.72222,0.79842,0.51495,1.22177,1.48962,1.08042,0.93804,0,0.000665875,0.000665875,0.000665875
29,2866.67,1.02115,1.23553,1.05954,0.93249,0,0.70366,0.7673,0.77885,0.55096,0.70366,0.7673,0.77885,0.52497,1.06916,1.39311,1.11789,0.89926,0,0.0006535,0.0006535,0.0006535
30,2959.28,1.01199,1.20352,1.02309,0.93061,0,0.74624,0.6965,0.80782,0.56212,0.74624,0.6965,0.80782,0.55629,1.11088,1.35717,1.0535,0.91741,0,0.000641125,0.000641125,0.000641125
31,3051.22,1.0076,1.21744,1.03521,0.91879,0,0.7303,0.74983,0.81676,0.58254,0.7303,0.74983,0.8187,0.5704,1.1248,1.4846,1.0698,0.92034,0,0.00062875,0.00062875,0.00062875
32,3137.89,0.99801,1.1856,0.98863,0.92171,0,0.76632,0.68302,0.79397,0.55797,0.76632,0.68302,0.79503,0.52879,1.12814,1.55105,1.04141,0.91382,0,0.000616375,0.000616375,0.000616375
33,3221.95,0.99521,1.20175,0.96616,0.9256,0,0.69922,0.80248,0.8031,0.53589,0.70549,0.8074,0.80955,0.51947,1.21963,1.51707,1.13081,0.95057,0,0.000604,0.000604,0.000604
34,3309.8,0.96673,1.15434,0.9354,0.9136,0,0.73094,0.7376,0.81151,0.56316,0.73094,0.7376,0.81373,0.54448,1.11314,1.36988,0.97232,0.92494,0,0.000591625,0.000591625,0.000591625
35,3390.18,0.98562,1.23842,0.94644,0.91916,0,0.76622,0.7152,0.81469,0.5711,0.76622,0.7152,0.8177,0.56488,1.18026,1.45693,1.04038,0.94095,0,0.00057925,0.00057925,0.00057925
36,3471.63,0.96329,1.20285,0.93021,0.91486,0,0.81458,0.7061,0.81983,0.58269,0.7222,0.77177,0.81846,0.56705,1.10475,1.38583,1.06,0.92105,0,0.000566875,0.000566875,0.000566875
37,3553.44,0.9778,1.19966,0.93673,0.92069,0,0.74217,0.80563,0.81256,0.57108,0.74217,0.80563,0.81813,0.56097,1.11104,1.38308,1.06855,0.91739,0,0.0005545,0.0005545,0.0005545
38,3634.35,0.94801,1.18255,0.9272,0.91266,0,0.77194,0.73139,0.82159,0.58075,0.75541,0.75623,0.81195,0.57656,1.0316,1.31585,0.93425,0.90358,0,0.000542125,0.000542125,0.000542125
