epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
45,13254.1,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000274,0.000274,0.000274
46,13546.2,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0002575,0.0002575,0.0002575
47,13828.3,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000241,0.000241,0.000241
48,14111.6,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0002245,0.0002245,0.0002245
49,14388.8,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000208,0.000208,0.000208
50,14702,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0001915,0.0001915,0.0001915
51,14979.4,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000175,0.000175,0.000175
52,15244.5,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0001585,0.0001585,0.0001585
53,15511.6,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000142,0.000142,0.000142
54,15792.3,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0001255,0.0001255,0.0001255
55,16061.9,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000109,0.000109,0.000109
56,16322.3,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,9.25e-05,9.25e-05,9.25e-05
57,16593.6,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,7.6e-05,7.6e-05,7.6e-05
58,16845.7,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,5.95e-05,5.95e-05,5.95e-05
59,17118.4,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,4.3e-05,4.3e-05,4.3e-05
60,17390.5,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,2.65e-05,2.65e-05,2.65e-05
