epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2565.51,0.93991,1.1793,0.79283,0.93038,0,0.77068,0.78863,0.84369,0.57071,0.77068,0.78863,0.8481,0.56476,1.2046,1.53098,0.78538,0.99237,0,0.000665875,0.000665875,0.000665875
29,2668.96,0.92233,1.13851,0.8023,0.93243,0,0.87843,0.8004,0.91511,0.64729,0.87843,0.8004,0.91322,0.6462,1.07026,1.36841,0.71,0.94994,0,0.0006535,0.0006535,0.0006535
30,2772.05,0.91941,1.11426,0.76409,0.92946,0,0.80385,0.79254,0.86485,0.61903,0.80124,0.8,0.87349,0.60638,1.11316,1.34043,0.77707,0.9548,0,0.000641125,0.000641125,0.000641125
31,2877.34,0.91702,1.11651,0.77451,0.92187,0,0.81337,0.7722,0.86193,0.61248,0.78902,0.79551,0.86492,0.60803,1.12952,1.27611,0.80018,0.94517,0,0.00062875,0.00062875,0.00062875
32,2984.14,0.8865,1.08116,0.74391,0.91038,0,0.79984,0.75979,0.85771,0.62172,0.7984,0.77199,0.8611,0.61415,1.05497,1.24188,0.84803,0.91735,0,0.000616375,0.000616375,0.000616375
33,3083.46,0.88998,1.08852,0.72884,0.91493,0,0.83923,0.76389,0.86279,0.61748,0.83846,0.76435,0.86966,0.6215,1.0739,1.35343,0.80525,0.92808,0,0.000604,0.000604,0.000604
34,3182.34,0.88386,1.05612,0.70137,0.91161,0,0.91157,0.76152,0.88403,0.62421,0.84329,0.80901,0.88883,0.62495,1.0565,1.23157,0.73586,0.93275,0,0.000591625,0.000591625,0.000591625
35,3277.13,0.87133,1.10909,0.70796,0.91599,0,0.75076,0.77581,0.84771,0.58611,0.73341,0.79612,0.84991,0.58907,1.13078,1.36234,0.82247,0.94897,0,0.00057925,0.00057925,0.00057925
36,6201.63,0.87574,1.1083,0.706,0.9143,0,0.85003,0.78932,0.87624,0.62768,0.82663,0.82006,0.88827,0.63314,1.05653,1.3558,0.73766,0.93163,0,0.000566875,0.000566875,0.000566875
37,9153.09,0.87735,1.1127,0.70144,0.91316,0,0.7915,0.84864,0.89241,0.64299,0.78625,0.84344,0.8931,0.65334,1.05442,1.17969,0.77614,0.93766,0,0.0005545,0.0005545,0.0005545
38,9577.35,0.85693,1.07687,0.68725,0.90565,0,0.84733,0.82531,0.90367,0.64672,0.842,0.8201,0.90077,0.66143,1.02701,1.22822,0.70511,0.92974,0,0.000542125,0.000542125,0.000542125
39,9668.4,0.86702,1.03477,0.67315,0.91128,0,0.82493,0.82375,0.88537,0.61245,0.82996,0.83042,0.88798,0.61939,1.12948,1.2548,0.78429,0.94415,0,0.00052975,0.00052975,0.00052975
40,9758.44,0.82422,1.0245,0.66006,0.90055,0,0.84344,0.77024,0.88058,0.6369,0.84344,0.77024,0.87882,0.62698,1.04884,1.24995,0.75838,0.91552,0,0.000517375,0.000517375,0.000517375
41,9846.91,0.82531,1.02139,0.65663,0.90283,0,0.87951,0.74951,0.89201,0.64139,0.87951,0.74951,0.89387,0.63885,1.05314,1.20412,0.7384,0.92184,0,0.000505,0.000505,0.000505
42,9934.11,0.83941,1.04866,0.66654,0.88672,0,0.78431,0.76077,0.851,0.60011,0.78431,0.76077,0.856,0.60967,1.06849,1.34342,0.82229,0.9218,0,0.000492625,0.000492625,0.000492625
43,10020.9,0.82362,1.02131,0.64213,0.90032,0,0.80024,0.78528,0.85491,0.61477,0.80024,0.78528,0.86032,0.61563,1.04544,1.21769,0.73295,0.92481,0,0.00048025,0.00048025,0.00048025
44,10106.5,0.82291,1.01727,0.64387,0.88832,0,0.74194,0.80248,0.83824,0.59933,0.74568,0.81161,0.84226,0.5884,1.05255,1.21909,0.78524,0.91352,0,0.000467875,0.000467875,0.000467875
45,10196.7,0.82254,1.04913,0.64189,0.88871,0,0.81014,0.85694,0.88507,0.63964,0.81516,0.86361,0.88964,0.64587,0.99021,1.2081,0.74727,0.91173,0,0.0004555,0.0004555,0.0004555
46,10285.7,0.81601,0.99117,0.6328,0.88602,0,0.87382,0.75678,0.86636,0.62353,0.85461,0.76032,0.86882,0.61137,1.00264,1.27332,0.73582,0.91274,0,0.000443125,0.000443125,0.000443125
47,10375.1,0.81582,0.99219,0.60395,0.89074,0,0.82887,0.79885,0.87321,0.64082,0.82887,0.79885,0.87356,0.62993,0.98086,1.15698,0.71335,0.90887,0,0.00043075,0.00043075,0.00043075
48,10465.5,0.79803,0.99486,0.62166,0.87527,0,0.85451,0.83493,0.88727,0.65071,0.84898,0.83613,0.88763,0.64486,0.99896,1.13082,0.69802,0.90923,0,0.000418375,0.000418375,0.000418375
49,10561.9,0.78208,0.97964,0.5945,0.87785,0,0.81507,0.74454,0.84308,0.60175,0.81473,0.7453,0.84381,0.59062,1.07492,1.26965,0.81519,0.92785,0,0.000406,0.000406,0.000406
50,10660.1,0.75916,0.94899,0.58404,0.87652,0,0.8783,0.78885,0.87092,0.62513,0.88034,0.80117,0.87585,0.62223,1.03183,1.33203,0.70395,0.92231,0,0.000393625,0.000393625,0.000393625
51,10758.8,0.76725,1.00036,0.57568,0.87433,0,0.82719,0.79912,0.86869,0.62076,0.82719,0.79912,0.87035,0.61729,1.07497,1.32588,0.72056,0.92719,0,0.00038125,0.00038125,0.00038125
52,10857.3,0.78,0.96761,0.57585,0.87795,0,0.80276,0.81474,0.86084,0.63407,0.80276,0.81474,0.86532,0.64392,1.00787,1.20091,0.71182,0.89591,0,0.000368875,0.000368875,0.000368875
53,10957.6,0.74957,0.95407,0.56888,0.8693,0,0.78176,0.81129,0.86913,0.6339,0.78176,0.81129,0.87354,0.63739,1.00638,1.29124,0.69597,0.91068,0,0.0003565,0.0003565,0.0003565
